,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,POINT SYSTEM,,TIE BREAKERS (Ruleset),,,LEADERBOARD DAY 3,,,,,,PICK'EMS,,,
,8,,"1. Total Tournament Points (Day 3 Only)
All points earned in all rounds where every 
player competed, including previous days",,,POSITION,NAME,REGION,TOTAL,PRIZING (US Dollars),,,,,
,7,,,,,1,AUR Huanmie,,0,"$150,000",,,,,
,6,,2. Highest number of wins and Top 4s in the tournament stage Wins(2x) + Top4s,,,2,steelo of bora,,0,"$50,000",,CRYSTAL BALL,,,
,5,,,,,3,A Long,,0,"$25,000",,Top,Player,,
,4,,"3. Highest number of placements in earlier games
# of 1sts, 2nds, 3rds, 4ths, etc",,,4,M8 Jedusor,,0,"$20,000",,1,,,
,3,,,,,5,MIH bensac,,0,"$17,000",,2,,,
,2,,4. Finishing position in the final game in the tournament stage (i.e. end of day 2 or end of day 3),,,6,WBG Tianlong,,0,"$15,000",,3,,,
,1,,,,,7,LiShao,,0,"$13,000",,,,,
,,,,,,8,VIT k3soju,,0,"$12,000",,GROUP STAGE - TOP 8,,,
,"Follow TFT on socials:

@CompeteTFT on X
@teamfighttactics on Instagram
@teamfighttactics on Tiktok
 @playtft on YouTube",,,,,LEADERBOARD DAY 1 & 2,,,,,,Top 1 - Top 4,Top 5 - Top 8,,
,,,,,,9,bruhbruhbruhwho,,64,"$11,000",,AUR Huanmie,MIH bensac,,
,,,,,,10,ZETA title,,62,"$11,000",,steelo of bora,WBG Tianlong,,
,,,,,,11,CTG dankmemes01,,61,"$10,000",,A Long,LiShao,,
,,,,,,12,FL Upsetmax,,60,"$10,000",,M8 Jedusor,VIT k3soju,,
,,,,,,13,Guillosko,,58,"$9,000",,,,,
,join the weh-weh with #TFTCrown,,,,,14,VCLF,,57,"$9,000",,REGIONAL RANKING - TOP 4 PLAYERS,,,
,,,,,,15,ACAD Dishsoap,,55,"$8,000",,Top,Region,Icon,Total Points
,,,,,,16,XiaoGe,,55,"$8,000",,1,,,
,and visit riot.com/TacticiansCrown for more info,,,,,17,Ringo,,45,"$7,000",,2,,,
,,,,,,18,FNC Darth Nub,,45,"$7,000",,3,,,
,,,,,,19,RRQ YBY1,,44,"$6,000",,4,,,
,,,,,,20,huanyi,,44,"$6,000",,,,,
,REGIONAL BROADCAST,,,,,21,AGAL LiTuChuan,,43,"$5,500",,3-STAR 5-COSTS,,,
,Nickname,,Twitch,Youtube,,22,suirenka,,43,"$5,500",,WIN RATE PLAYER,,,
,Official English Broadcast,,/teamfighttactics,@playtft,,23,VP Milo,,42,"$5,000",,# DAY 3 GAMES,,,
,APAC Vietnam,,/DTCLVN,@DTCLVN,,24,TLG diaomei,,41,"$5,000",,LONGEST GAME,,,
,APAC Taiwan,,/twm_tft,@playtfttw,,25,AGAL HoroX,,34,"$4,500",,SHORTEST GAME,,,
,KR,,/tft,@TeamFightTacticsKR,,26,MKOI Safo20,,33,"$4,500",,MIN. HEALTH,,,
,BR,,/RiotGamesBrasil,@TFTBR,,27,VP Maris,,32,"$4,000",,# DAY 3 WINNERS,,,
,FR,,/otplol_,-,,28,CTG Kaiweng,,31,"$4,000",,,,,
,CN,,Douyu,kwai,,29,jiejie,,31,"$3,500",,,,,
,,,/cntft_toc,Huya,,30,WBG XZZ,,29,"$3,500",,,,,
,,,bilibili,Douyin,,31,Qitux,,29,"$3,000",,,,,
,,,,,,32,Hypno,,29,"$3,000",,,,,
,OFFICIAL MAIN LOBBY TALENT,,,,,33,k0nda1,,20,"$2,500",,,,,
,Nickname,,X,,,34,FW Iron Bog,,18,"$2,500",,,,,
,Meeix,,https://x.com/meeix_,,,35,FW AQ1H,,18,"$2,000",,,,,
,Jupeson,,https://x.com/jupeson,,,36,pepoglad,,17,"$2,000",,,,,
,Gangly,,https://x.com/Gangly_,,,37,seoill,,17,"$1,500",,,,,
,Nekkra,,https://x.com/Nekkra,,,38,MIH ZyK0o,,15,"$1,500",,,,,
,Clement,,https://x.com/ClementKChu,,,39,steppy,,14,"$1,500",,,,,
,ImpetuousPanda,,https://x.com/ImpetuousPanda,,,40,MIH Tarteman,,13,"$1,500",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,OFFICIAL CO-STREAMERS,,,,,,,,,,,,,,
,Name,,Language,Link,,Name,,Language,Link,,,,,,
,gearbaby1010,,Chinese,https://www.twitch.tv/gearbaby1010,,manutegaming,,Spanish,https://www.twitch.tv/manutegaming,,,,,,
,Frodan,,English,twitch.tv/frodan,,blackfireice,,Polish,https://www.twitch.tv/blackfireice,,,,,,
,Gotaga,,French,https://www.twitch.tv/gotaga,,Kezman22,,Polish,https://twitch.tv/kezman22,,,,,,
,Bố Già TFT,,Vietnamese,https://www.tiktok.com/@bogiatft,,Toddy,,Portuguese,https://www.twitch.tv/tftoddy,,,,,,
,EmChe,,Vietnamese,https://www.youtube.com/@EmChe,,Send,,English,https://www.twitch.tv/send/,,,,,,
,GreenTea,,Mandarin,https://www.twitch.tv/greentea,,gtroubleinc,,English,https://twitch.tv/gtroubleinc,,,,,,
,Reven,,Spanish,https://www.twitch.tv/reventxz,,Inorin,,Thai,https://www.youtube.com/c/Inorin,,,,,,
,dokhy,,French,twitch.tv/dokhy,,ToonTv,,French,https://twitch.tv/Toontv,,,,,,
,Sologesang,,German,https://www.twitch.tv/sologesang,,Un33d,,French,https://twitch.tv/un33d,,,,,,
,LPGJustJohnny,,German,https://twitch.tv/LPGjustJohnny,,youbetterknowme,,German,https://www.twitch.tv/youbetterknowme,,,,,,
,riri_lol,,Japanese,https://www.twitch.tv/riri_lol,,Extra Rai,,English/Tagalog,https://www.twitch.tv/extrarai,,,,,,
,Zalvo,,Thai,https://www.youtube.com/@ZalvoTFT,,merci_raph,,French,https://twitch.tv/merci_raph,,,,,,
,shikamemadoka,,Japanese,https://www.twitch.tv/shikamemadokaaa,,opesanec,,French,https://www.twitch.tv/opesanec,,,,,,
,,,,,,,,,,,,,,,
,OFFICIAL WATCH PARTY,,,,,,,,,,,,,,
,Name,,Language,Link,,Name,,Language,Link,,,,,,
,BriksTN,,Arabic (tunisian dialect),Kick.com/brikstn,,Kimi,,Japanese,https://www.twitch.tv/kimi1211,,,,,,
,Rovando,,Bahasa Indonesia,https://www.youtube.com/@rovandoyv,,정동글,,Korean,https://www.youtube.com/channel/UCcstDLbuhxEbFKkPZ6wST2A/videos,,,,,,
,nsoju,,English,https://twitch.tv/nsoju,,Balmyeong,,Korean,https://www.youtube.com/@%EB%B0%9C%EB%AA%85,,,,,,
,Lallana,,English,https://www.twitch.tv/laellana,,TFT Labs,,Korean,https://www.youtube.com/@TFT-Labs,,,,,,
,Kiera,,English,https://twitch.tv/kieratft,,Dandi,,Mandarin,https://twitch.tv/Dandipasta,,,,,,
,azeel,,English,https://www.twitch.tv/a_zeel,,shreddin,,Polish,https://www.twitch.tv/shreddin_,,,,,,
,hmoon,,English,https://www.twitch.tv/hmoon76,,vaxon,,Polish,https://www.twitch.tv/vaxontft,,,,,,
,meluhn,,English,https://twitch.tv/meluhn,,TFT STOMPER,,Portuguese,youtube.com/TFTSTOMPER,,,,,,
,EllieGoobie,,English,https://www.twitch.tv/elliegoobie,,Clorka,,Russian,https://www.twitch.tv/clorka,,,,,,
,Fungster,,English,https://twitch.tv/Fungster,,nrvn5,,Russian,https://twitch.tv/nrvn5,,,,,,
,Nekfinite,,English,https://www.twitch.tv/nekfinite,,YunRel,,Spanish,twitch.tv/yun_rel,,,,,,
,Guardian Angel League (GAL),,English,https://twitch.tv/guardianangelgg,,Pamelisha,,Spanish,https://www.twitch.tv/pamelishaa,,,,,,
,JustRemikun,,English,https://twitch.tv/JustRemikun,,Sitrini,,Spanish,https://www.twitch.tv/sitrini,,,,,,
,xshanex,,English/Burmese,https://youtube.com/@x_shanex?si=OmvJ9D4saa9YMyPX,,Row,,Spanish,https://kick.com/rowmeister,,,,,,
,chisuke,,English/Filipino,https://www.twitch.tv/chisukethur,,xZoderh,,Spanish,https://www.twitch.tv/xzoderh,,,,,,
,davidcarbajal15,,Spanish,https://www.twitch.tv/davidcarbajal15,,Oliimgreen,,Spanish,https://www.twitch.tv/oliimgreen,,,,,,
