,,,,LEADERBOARD,,,,,,,,,,,,,,
Position,Name,REGION,Points,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Prize ($),Tiebreakers
1,AUR Huanmie,,75,7,5,4,5,7,4,7,7,8,8,6,7,Qualify to Day 3,,
2,steelo of bora,,75,6,3,8,6,7,7,6,4,8,7,7,6,Qualify to Day 3,,
3,A Long,,74,7,6,8,6,8,5,7,8,5,4,8,2,Qualify to Day 3,,
4,M8 Jedusor,,68,8,8,6,7,4,7,6,6,6,2,2,6,Qualify to Day 3,,
5,MIH bensac,,71,3,7,7,4,7,8,3,4,4,8,3,5,8,Qualify to Day 3,
6,WBG Tianlong,,69,8,1,3,8,5,6,8,8,7,1,3,7,4,Qualify to Day 3,
7,LiShao,,67,8,2,8,6,5,3,6,7,1,6,1,8,6,Qualify to Day 3,
8,VIT k3soju,,66,4,6,5,5,5,7,3,8,5,2,1,8,7,Qualify to Day 3,
9,bruhbruhbruhwho,,64,7,5,4,7,8,6,2,6,1,5,4,4,5,"$11,000",
10,ZETA title,,62,6,7,2,8,4,8,7,5,2,5,2,3,3,"$11,000",
11,CTG dankmemes01,,61,5,8,2,2,8,5,2,8,3,7,8,1,2,"$10,000",
12,FL Upsetmax,,60,1,5,7,8,6,7,3,4,4,5,6,3,1,"$10,000",
13,Guillosko,,58,8,4,6,3,6,5,3,4,5,6,7,1,-,"$9,000",
14,VCLF,,57,3,4,8,3,2,6,5,5,7,4,5,5,-,"$9,000",
15,ACAD Dishsoap,,55,2,1,2,6,8,5,8,6,3,7,5,2,-,"$8,000",
16,XiaoGe,,55,2,1,6,3,1,8,8,7,8,3,4,4,-,"$8,000",
17,Ringo,,45,2,8,1,8,5,2,4,5,6,4,-,-,-,"$7,000",
18,FNC Darth Nub,,45,6,7,1,5,7,8,5,2,3,1,-,-,-,"$7,000",
19,RRQ YBY1,,44,2,2,5,2,6,5,5,7,2,8,-,-,-,"$6,000",
20,huanyi,,44,1,7,8,7,2,3,7,1,6,2,-,-,-,"$6,000",
21,AGAL LiTuChuan,,43,2,6,6,7,5,2,6,2,1,6,-,-,-,"$5,500",
22,suirenka,,43,4,6,4,8,2,1,8,3,4,3,-,-,-,"$5,500",
23,VP Milo,,42,4,5,6,1,8,4,4,2,7,1,-,-,-,"$5,000",
24,TLG diaomei,,41,7,2,5,2,7,8,2,3,2,3,-,-,-,"$5,000",
25,AGAL HoroX,,34,5,3,7,5,6,4,2,2,-,-,-,-,-,"$4,500",
26,MKOI Safo20,,33,8,2,3,4,3,3,5,5,-,-,-,-,-,"$4,500",
27,VP Maris,,32,7,2,7,4,3,7,1,1,-,-,-,-,-,"$4,000",
28,CTG Kaiweng,,31,6,3,7,1,3,1,4,6,-,-,-,-,-,"$4,000",
29,jiejie,,31,5,7,2,3,4,6,1,3,-,-,-,-,-,"$3,500",
30,WBG XZZ,,29,5,4,5,7,2,1,4,1,-,-,-,-,-,"$3,500",
31,Qitux,,29,3,6,5,4,3,6,1,1,-,-,-,-,-,"$3,000",
32,Hypno,,29,5,5,1,6,4,4,1,3,-,-,-,-,-,"$3,000",
33,k0nda1,,20,4,8,3,2,2,1,-,-,-,-,-,-,-,"$2,500",
34,FW Iron Bog,,18,1,8,4,1,1,3,-,-,-,-,-,-,-,"$2,500",
35,FW AQ1H,,18,3,3,4,4,1,3,-,-,-,-,-,-,-,"$2,000",
36,pepoglad,,17,4,1,1,3,6,2,-,-,-,-,-,-,-,"$2,000",
37,seoill,,17,3,4,1,1,4,4,-,-,-,-,-,-,-,"$1,500",
38,MIH ZyK0o,,15,1,4,2,5,1,2,-,-,-,-,-,-,-,"$1,500",
39,steppy,,14,6,1,3,1,1,2,-,-,-,-,-,-,-,"$1,500",
40,MIH Tarteman,,13,1,3,3,2,3,1,-,-,-,-,-,-,-,"$1,500",
